,POS_LATITUD,POS_LONGITUD,POS_FECHAHORA
15080,"41,47391","2,09046",2015-04-16 12:23:22.000
15117,"41,47391","2,09046",2015-04-16 12:23:02.000
15140,"41,47391","2,09046",2015-04-16 12:22:42.000
15172,"41,47393","2,09069",2015-04-16 12:22:22.000
15198,"41,474","2,09174",2015-04-16 12:22:01.000
15206,"41,474","2,09179",2015-04-16 12:21:59.000
15230,"41,47408","2,09298",2015-04-16 12:21:41.000
15244,"41,47427","2,09361",2015-04-16 12:21:32.000
15269,"41,474","2,09406",2015-04-16 12:21:20.000
15280,"41,4737","2,09455",2015-04-16 12:21:13.000
15293,"41,47374","2,09588",2015-04-16 12:21:01.000
15334,"41,47388","2,09724",2015-04-16 12:20:47.000
15343,"41,47362","2,09738",2015-04-16 12:20:42.000
15344,"41,47348","2,09744",2015-04-16 12:20:40.000
